order_id,customer_id,staff_id,table_number,order_datetime,total_amount
1,78,25,22,2023-06-19 18:00:00,24.3
2,947,25,9,2023-07-20 04:00:00,24.34
3,1626,17,11,2023-02-07 18:00:00,84.93
4,688,6,21,2023-11-14 13:00:00,50.99
5,21,8,15,2023-01-28 14:00:00,90.66
6,566,3,3,2023-10-07 22:00:00,54.6
7,1208,25,16,2023-12-27 14:00:00,79.04
8,1895,18,21,2023-02-09 06:00:00,94.68
9,1246,22,21,2023-12-14 21:00:00,70.3
10,827,1,21,2023-09-25 07:00:00,69.35
11,1352,16,12,2023-05-18 21:00:00,19.71
12,179,7,23,2023-02-25 06:00:00,55.19
13,1812,3,5,2023-03-29 18:00:00,70.04
14,1136,23,7,2023-07-19 23:00:00,60.82
15,1760,4,9,2023-05-03 10:00:00,109.09
16,1750,9,21,2023-04-14 11:00:00,109.72
17,1083,5,18,2023-02-27 07:00:00,100.41
18,1351,19,21,2023-11-24 08:00:00,51.28
19,905,15,8,2023-01-11 04:00:00,88.9
20,1645,8,12,2023-04-08 20:00:00,53.48
21,1921,6,20,2023-01-20 23:00:00,35.59
22,669,18,2,2023-03-22 15:00:00,47.72
23,191,19,10,2023-08-28 21:00:00,17.81
24,1224,24,19,2023-01-04 15:00:00,46.5
25,1336,15,9,2023-01-08 10:00:00,60.68
26,708,7,24,2023-01-07 18:00:00,115.1
27,1059,10,8,2023-04-21 00:00:00,44.48
28,379,6,24,2023-04-08 20:00:00,109.27
29,387,14,24,2023-04-11 21:00:00,35.17
30,1782,17,24,2023-06-29 02:00:00,31.01
31,237,9,1,2023-06-22 14:00:00,67.09
32,616,19,6,2023-07-07 15:00:00,83.98
33,1543,5,12,2023-02-20 17:00:00,14.88
34,283,23,24,2023-04-14 02:00:00,34.32
35,1,7,19,2023-02-08 17:00:00,60.13
36,1755,19,17,2023-11-28 14:00:00,46.41
37,464,20,2,2023-12-21 12:00:00,88.39
38,1254,7,11,2023-03-04 14:00:00,66.23
39,967,24,18,2023-01-18 12:00:00,27.64
40,172,2,23,2023-08-31 22:00:00,108.39
41,1111,25,22,2023-07-01 14:00:00,42.22
42,1577,23,11,2023-03-02 09:00:00,90.42
43,1147,16,18,2023-08-31 03:00:00,95.79
44,843,13,8,2023-12-26 03:00:00,115.95
45,1322,8,15,2023-11-24 23:00:00,64.84
46,1909,6,9,2023-12-24 20:00:00,77.74
47,1953,6,15,2023-01-05 10:00:00,46.84
48,690,9,7,2023-06-18 17:00:00,84.6
49,575,4,20,2023-12-12 09:00:00,60.97
50,1508,11,13,2023-03-21 07:00:00,58.14
51,165,5,13,2023-11-15 17:00:00,104.1
52,1723,25,1,2023-05-29 18:00:00,15.52
53,383,17,20,2023-08-13 00:00:00,107.02
54,209,20,4,2023-01-02 18:00:00,103.73
55,1763,7,24,2023-09-24 01:00:00,65.7
56,1456,15,4,2023-03-07 17:00:00,63.92
57,1413,25,4,2023-09-10 17:00:00,49.8
58,1584,15,13,2023-09-03 05:00:00,119.36
59,224,14,2,2023-12-24 08:00:00,22.23
60,3,13,23,2023-05-30 01:00:00,74.92
61,372,11,15,2023-05-15 22:00:00,84.98
62,1711,13,4,2023-08-07 12:00:00,112.78
63,1470,22,6,2023-03-30 22:00:00,95.82
64,611,24,3,2023-06-12 04:00:00,80.82
65,116,9,7,2023-06-30 01:00:00,22.85
66,1294,10,6,2023-08-29 16:00:00,51.11
67,447,4,3,2023-08-31 20:00:00,25.27
68,1392,17,4,2023-06-08 23:00:00,106.93
69,1277,14,10,2023-01-13 07:00:00,92.46
70,1341,24,21,2023-01-18 05:00:00,93.33
71,415,18,9,2023-09-06 04:00:00,81.75
72,1119,11,6,2023-09-19 14:00:00,65.77
73,1809,16,20,2023-10-05 20:00:00,26.5
74,892,1,11,2023-12-08 11:00:00,46.27
75,1048,7,7,2023-01-08 09:00:00,25.06
76,1652,10,18,2023-07-01 10:00:00,89.74
77,663,9,4,2023-09-04 10:00:00,27.63
78,1874,25,5,2023-08-17 10:00:00,87.23
79,1074,3,4,2023-05-17 07:00:00,86.15
80,1526,22,4,2023-10-06 15:00:00,60.52
81,718,23,13,2023-08-13 16:00:00,24.88
82,1522,14,16,2023-01-13 01:00:00,44.63
83,1359,25,14,2023-12-18 01:00:00,45.21
84,1103,15,11,2023-01-17 23:00:00,87.04
85,1606,2,2,2023-01-29 21:00:00,22.51
86,1051,24,22,2023-02-18 17:00:00,101.2
87,271,14,14,2023-12-26 07:00:00,93.71
88,562,16,24,2023-11-21 06:00:00,30.49
89,804,7,24,2023-05-07 20:00:00,89.11
90,247,4,7,2023-08-19 10:00:00,83.54
91,1800,18,11,2023-07-28 00:00:00,92.29
92,1615,24,4,2023-06-13 12:00:00,30.78
93,387,5,7,2023-10-18 10:00:00,27.33
94,702,6,16,2023-05-19 00:00:00,36.01
95,559,7,6,2023-06-29 22:00:00,50.25
96,973,15,6,2023-03-12 08:00:00,97.3
97,1385,1,2,2023-01-20 11:00:00,91.17
98,1890,24,24,2023-04-11 22:00:00,111.8
99,984,4,8,2023-10-31 07:00:00,16.45
100,1512,25,7,2023-07-07 19:00:00,11.27
101,352,1,24,2023-07-16 17:00:00,86.91
102,1725,11,14,2023-08-12 19:00:00,40.72
103,1952,18,9,2023-11-11 05:00:00,46.75
104,1280,14,15,2023-03-03 22:00:00,70.15
105,1246,22,22,2023-06-06 05:00:00,21.27
106,1908,11,18,2023-12-02 19:00:00,80.7
107,753,10,12,2023-04-15 07:00:00,45.77
108,781,17,23,2023-11-24 07:00:00,79.6
109,1025,4,19,2023-10-21 23:00:00,101.74
110,546,24,13,2023-01-17 15:00:00,28.82
111,1470,15,7,2023-07-02 14:00:00,112.4
112,79,16,10,2023-03-06 03:00:00,68.38
113,1260,21,10,2023-12-18 04:00:00,111.52
114,334,13,2,2023-10-27 09:00:00,32.85
115,889,9,14,2023-07-24 14:00:00,76.5
116,1373,11,13,2023-07-07 21:00:00,54.43
117,1122,11,22,2023-09-10 03:00:00,95.16
118,1106,6,6,2023-09-14 08:00:00,76.65
119,502,1,9,2023-12-25 19:00:00,64.4
120,1991,22,13,2023-06-21 20:00:00,110.43
121,1501,6,9,2023-04-10 19:00:00,51.48
122,1951,13,13,2023-06-14 14:00:00,34.2
123,1728,22,5,2023-01-19 17:00:00,76.89
124,765,24,14,2023-01-16 19:00:00,78.64
125,921,22,5,2023-10-31 13:00:00,58.3
